role,region,annual_probability_percent,headcount
C_Level,NA,0.0,9
C_Level,EU,0.0,9
C_Level,APAC,0.0,9
Trader,NA,3.225806451612903,100
Trader,EU,5.88235294117647,100
Trader,APAC,0.0,100
IT_Admin,NA,0.0,50
IT_Admin,EU,0.0,50
IT_Admin,APAC,5.88235294117647,50
Analyst,NA,2.0491803278688523,700
Analyst,EU,1.7167381974248928,700
Analyst,APAC,1.345291479820628,700
Contractor,NA,4.444444444444445,130
Contractor,EU,2.5,130
Contractor,APAC,2.2222222222222223,130
Exec_Assistant,NA,0.0,20
Exec_Assistant,EU,0.0,20
Exec_Assistant,APAC,0.0,20
